Date,ISO_A3,Country,Count,Area_km2,CoverageFraction
2019-01-27,CHN,China,45,9375215.38301177,0.33501988
2019-01-29,CHN,China,57,9375215.38301177,0.42435852
2019-01-29,CHN,Hong Kong,2,9375215.38301177,0.01488977
2019-02-05,CHN,China,59,9375215.38301177,0.43924829
2019-02-07,CHN,China,54,9375215.38301177,0.40202386
2019-02-07,VNM,Viet Nam,5,328891.93520732,1.06109949
2019-02-08,KHM,Cambodia,10,181059.66369856,3.85493994
2019-02-08,CHN,China,17,9375215.38301177,0.12656307
2019-02-08,LAO,Lao People's Democratic Republic,8,228113.97375204,2.44780841
2019-02-08,THA,Thailand,16,514453.47272728,2.17076697
2019-02-08,VNM,Viet Nam,8,328891.93520732,1.69775918
2019-02-15,CHN,China,59,9375215.38301177,0.43924829
2019-02-17,CHN,China,4,9375215.38301177,0.02977955
2019-02-17,IND,India,7,3150744.48103565,0.15506871
